 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1959   198.6   151.3   183.4   206.3   262.6    61.6    70.1    96.8   253.2   423.1   268.3   178.9   652.3   228.5   944.6   450.0  2354.3
 1960   132.3   138.8   214.9   252.8   311.4    97.5    72.9    86.6   329.4   320.3   252.0   291.6   779.1   257.0   901.7   602.6  2500.5
 1961   157.7   153.3   205.6   259.4   160.3    66.2    65.0   105.3   338.4   392.4   282.5   194.0   625.3   236.5  1013.3   538.1  2380.2
 1962   186.1   157.9   239.8   278.0   260.3   192.5    44.5    67.0   178.2   273.9   263.4   253.3   778.2   303.9   715.5   552.3  2394.9
 1963   154.3   144.7   222.4   275.9   350.0   148.1    81.8    62.4   170.5   323.8   265.6   155.9   848.3   292.2   760.0   400.3  2355.3
 1964   122.1   122.4   177.4   233.2   251.2    93.1    75.9    76.9   134.6   280.7   263.7   191.3   661.8   245.8   679.0   468.6  2022.4
 1965   155.7   121.6   195.8   257.0   272.2    93.1    63.9   142.1   143.6   240.7   199.5   162.1   725.0   299.1   583.8   456.2  2047.2
 1966   153.1   141.0   178.5   268.8   286.1   252.1    48.8   115.0   157.2   329.2   267.8   133.3   733.4   415.9   754.2   374.6  2330.8
 1967   130.5   110.8   202.8   258.9   312.8    76.7    43.7    68.0   202.0   389.7   243.1   177.7   774.5   188.4   834.7   497.0  2216.7
 1968   171.9   147.4   216.1   222.0   281.6    71.2    37.8    60.6    97.7   314.1   290.9   136.6   719.7   169.5   702.7   414.2  2047.9
 1969   157.9   119.7   215.6   264.5   188.4    81.9    69.8   104.1   168.1   319.6   275.8   223.0   668.5   255.7   763.5   541.3  2188.3
 1970   171.3   146.9   216.9   275.1   205.7    72.0    52.5   189.9   165.4   319.5   264.2   158.7   697.7   314.4   749.1   419.6  2238.1
 1971   119.1   141.8   229.7   195.1   250.3   124.1    52.8    97.0   227.1   424.0   224.1   120.1   675.1   273.9   875.2   371.4  2205.4
 1972   146.7   104.6   198.3   191.5   201.0    69.1    81.9    57.7   106.7   306.1   263.5   180.9   590.8   208.8   676.3   458.7  1908.1
 1973   152.9   124.9   201.2   198.5   214.3    69.4   170.6    59.0   255.6   425.5   259.0   183.0   613.9   298.9   940.1   419.1  2313.8
 1974   135.5   100.6   169.2   201.3   305.2    95.2    45.0    53.4   130.5   361.3   226.0   149.5   675.8   193.7   717.8   417.0  1972.9
 1975   138.7   128.9   179.5   224.6   247.0   106.5    52.7    84.7   186.4   385.9   287.3   197.0   651.2   243.9   859.6   493.5  2219.3
 1976   146.7   149.8   198.5   262.8   184.9    61.1    48.6    89.6   123.5   309.8   320.6   229.8   646.1   199.3   753.9   547.7  2125.6
 1977   191.8   126.1   163.6   205.0   202.3   103.7    37.3   122.6   355.1   380.9   191.7   133.3   570.9   263.6   927.7   449.2  2213.4
 1978   155.4   160.5   236.6   213.3   143.1    68.7    37.3    82.8   150.4   318.2   205.0   239.7   593.0   188.8   673.5   515.1  2010.7
 1979    99.2   176.2   204.6   294.1   227.4   124.5    68.8    63.5   107.3   232.7   252.8   163.6   726.0   256.9   592.8   401.0  2014.6
